Names	Cluster	RA	DEC.	EW	EW_uperr	EW_lowerr	F_Lya	F_Lya_uperr	F_Lya_lowerr	Slit_corr_LRIS	Slit_corr_MOSFIRE	Beta	Beta_uperr	Beta_lowerr	Z_Lya	Z_Lya_uperr	Z_Lya_lowerr	Flux_upp_5_sig	Spec_z	Spec_z_err	F625W/F606W	EF625W/EF606W	F475W/F435W	EF475W/EF435W	HBeta	HBeta_Err	Halpha	HAlpha_err	OIII5007	OIII5007err	Magn	Beta_Power	Beta_err_Power	Beta_SED	Beta_err_SED	Metal_Calzetti	LAge_Calzetti	Age_err_Calzetti	AV_Calzetti	AV_err_Calzetti	LMass_Calzetti	Mass_err_Calzetti	LSFR_Calzetti	SFR_err_Calzetti	LSSFR_Calzetti	SSFR_err_Calzetti	Metal_SMC	LAge_SMC	Age_err_SMC	AV_SMC	AV_err_SMC	LMass_SMC	Mass_err_SMC	LSFR_SMC	SFR_err_SMC	LSSFR_SMC	SSFR_err_SMC	Rest_EW	Observed_Intrinsic_Lya	f_esc_obs	f_esc_obs_err	f_esc_upp_lim	Halpha_corr	Halpha_corr_err	Intrinsic_Lya_corr	f_esc_corr	f_esc_corr_err	f_esc_upp_corr
213	M1149	177.41005423	22.37434707	-38.317418	3.787153	3.651853	3.237780E-18	5.573808E-19	6.212473E-19	1.2255775	1.32	-0.00952	0.15434	-0.15131	2.52435109	2.61954313E-04	-2.54246629E-04	-1.0000E+00	2.5205E+00	9.5321E-05	4.9701E-30	8.3350E-32	3.1225E-30	9.9215E-32	6.1155E-18	2.7251E-18	3.8344E-17	7.9023E-18	2.0109E-17	2.7257E-18	5.1700E-01	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0872E+01	3.3359E-16	9.7059E-03	2.6687E-03	-1.0000E+00	7.7835E-17	2.8608E-17	6.7717E-16	5.8599E-03	2.5194E-03	-1.0000E+00
257	A1689	197.860113458333	-1.35867265277778	180.347890	3.907329	3.778427	1.409624E-16	9.459100E-19	4.129260E-18	1.185891415	1.4749	-1.18755	0.0394300000000001	-0.0382699999999998	1.705376434	4.43294644E-05	-4.3877039E-05	-1.0000E+00	1.7036E+00	4.3686E-06	4.0686E-30	1.4771E-31	2.9621E-30	1.1178E-31	3.6377E-17	2.0247E-18	8.9290E-17	1.3369E-18	-1.0000E+00	-1.0000E+00	1.9800E+00	-8.9000E-01	1.8293E-01	-1.7849E+00	5.7271E-02	8.0000E-03	7.5000E+00	2.0574E+07	8.0000E-01	7.0680E-02	7.8000E+00	1.4263E+07	3.8000E-01	6.8232E-01	-7.4100E+00	6.8232E-01	8.0000E-03	8.2000E+00	6.4108E+08	2.0000E-01	1.9101E-02	7.8600E+00	1.3008E+07	-1.4000E-01	9.4163E-02	-8.0000E+00	9.4163E-02	6.6663E+01	7.7682E-16	1.8146E-01	4.2488E-03	-1.0000E+00	1.3392E-16	4.6642E-17	1.1651E-15	1.4347E-01	5.0063E-02	-1.0000E+00
280	A1689	197.882839583333	-1.35724883333333	71.102887	2.03861	2.068568	1.275461E-16	3.389438E-18	1.431902E-18	1.239854453	1.7094	-2.29773	0.02495	-0.0244599999999999	1.705445787	3.98627917E-05	-3.98627917E-05	-1.0000E+00	1.7032E+00	4.5492E-06	1.2428E-29	3.9850E-31	1.2224E-29	3.8245E-31	5.7076E-17	2.5149E-18	1.2190E-16	1.9078E-18	2.6895E-16	7.9892E-18	3.3600E+00	-1.9400E+00	1.5450E-01	-2.2587E+00	2.0833E-02	8.0000E-03	8.3000E+00	3.1041E+08	2.0000E-01	5.4533E-02	7.9000E+00	8.1982E+06	-2.7000E-01	1.5951E-01	-8.1600E+00	1.5951E-01	8.0000E-03	9.3000E+00	8.2440E+08	5.0000E-02	1.4569E-02	7.8500E+00	8.3384E+06	-4.2000E-01	5.1652E-02	-8.2700E+00	5.1652E-02	2.6281E+01	1.0605E-15	1.2027E-01	2.9512E-03	-1.0000E+00	1.8283E-16	6.3679E-17	1.5906E-15	9.9418E-02	3.4705E-02	-1.0000E+00
345	A1689	197.85672160	-1.35537799	6.148069	4.593260	4.431717	7.333684E-19	3.264083E-19	5.426538E-19	1.343115124	1.57978	-1.93604	0.21271	-0.24406	1.973977074	3.4727352E-04	-3.29554896E-04	-1.0000E+00	1.9723E+00	3.8213E-05	3.0478E-30	1.3530E-31	2.6290E-30	1.1172E-31	-9.9000E+01	nan	2.6341277E-17	2.1706E-18	3.1976E-17	6.2594E-18	1.8100E+00	-1.8100E+00	1.7733E-01	-1.7343E+00	6.5307E-02	4.0000E-03	8.4000E+00	1.0143E+09	7.0000E-01	9.8422E-02	8.4600E+00	5.3729E+07	2.0000E-01	4.5437E-01	-8.2500E+00	4.5437E-01	4.0000E-03	9.5000E+00	1.0226E+09	1.5000E-01	2.2648E-02	8.4300E+00	7.9907E+07	-3.3000E-01	-1.0000E+00	-8.7600E+00	1.0357E-01	2.0673E+00	2.2917E-16	3.2001E-03	1.9144E-03	-1.0000E+00	3.9508E-17	1.3924E-17	3.4372E-16	2.8657E-03	2.4942E-03	-1.0000E+00
363	M1149	177.42674798	22.37874924	-102.008236	0.0307498	0.0307498	-1.00E-17	-1.00E-17	-1.00E-17	2.01064141	3.55	-0.33538	0.02235	-0.02257	1.643599555	6.67E-04	-6.67E-04	1.0812E-17	1.6436E+00	1.7456E-05	1.1858E-29	2.0189E-31	9.4588E-30	2.4674E-31	5.3683E-17	3.4819E-18	4.9687E-16	7.2485E-18	8.6255E-17	4.2950E-18	3.3400E-01	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-3.8587E+01	4.3228E-15	-1.0000E+00	-1.0001E+00	2.5012E-03	7.4523E-16	2.5954E-16	6.4835E-15	-1.0000E+00	-2.0406E+00	1.6676E-03
419	A1689	197.840492083333	-1.35298502777778	-52.697570	1.107196	1.032673	-1.00E-17	-1.00E-17	-1.00E-17	1.52		-2.27462	0.11244	-0.11586	1.907	6.67E-04	-6.67E-04	2.9253E-18	-1.0000E+00	-1.0000E+00	5.3276E-30	7.4636E-32	2.8574E-30	3.7139E-32	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	7.2000E-01	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.8128E+01	-8.7000E+00	-1.0000E+00	-1.4142E+00	-1.0000E+00	-1.4999E+00	-1.1281E+00	-1.3049E+01	-1.0000E+00	-1.6959E+00	-1.0000E+00
454	M0717	109.42184362	37.72789278	-415.869462	14.903210	16.785721	-1.00E-17	-1.00E-17	-1.00E-17	1.16	1.32	0.27701	0.12419	-0.12295	1.600607035	6.67E-04	-6.67E-04	2.6976E-17	1.6006E+00	1.1602E-05	6.3685E-30	7.4245E-32	5.6812E-30	9.2335E-32	5.1872E-18	3.3824E-18	3.1539E-17	1.3087E-18	3.5752E-17	3.9863E-18	6.2000E-01	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.5991E+02	2.7439E-16	-1.0000E+00	-1.0009E+00	9.8312E-02	6.4023E-17	2.2654E-17	5.5700E-16	-1.0000E+00	-1.2128E+00	4.8431E-02
470	A1689	197.85922493	-1.35269293	44.217968	6.609721	6.363322	7.3817655E-18	9.225775E-19	9.48333639E-19	1.3	1.81488	2.6673	0.27558	-0.27285	2.5449319	0.00003220222	-0.00309315	-1.0000E+00	2.5411E+00	1.7765E-05	1.8721E-30	1.0904E-31	1.4869E-30	8.3405E-32	1.0306E-17	3.9079E-18	4.7479E-17	6.1570E-18	5.2207E-17	2.2289E-18	2.7700E+00	-1.9800E+00	4.0686E-01	-2.0019E+00	7.4775E-02	8.0000E-03	8.2000E+00	5.6484E+08	5.0000E-01	1.5484E-01	7.6400E+00	2.1337E+07	-1.5000E-01	5.6893E-01	-7.7900E+00	5.6893E-01	4.0000E-03	8.8000E+00	7.5196E+08	1.5000E-01	3.7230E-02	7.5700E+00	1.7882E+07	-3.9000E-01	1.5299E-01	-7.9600E+00	1.5299E-01	1.2474E+01	4.1307E-16	1.7871E-02	3.2402E-03	-1.0000E+00	7.1212E-17	2.5545E-17	6.1954E-16	1.5489E-02	6.1141E-03	-1.0000E+00
499	M1149	177.39590631	22.38136993	-20.186449	6.482381	5.421628	-1.00E-17	-1.00E-17	-1.00E-17	1.277964781	1.3488741	-0.21544	0.45226	-0.45678	2.454	6.67E-04	-6.67E-04	1.2570E-18	2.4542E+00	1.6333E-04	1.9984E-30	6.0259E-32	6.9173E-31	7.3052E-32	-1.0000E+00	-1.0000E+00	8.6906E-18	3.6148E-18	-1.0000E+00	-1.0000E+00	4.5500E-01	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-5.8444E+00	7.5608E-17	-1.0000E+00	-1.0831E+00	1.6625E-02	1.3035E-17	5.8016E-18	1.1340E-16	-1.0000E+00	-1.3533E+00	1.1085E-02
523	A1689	197.88892875	-1.3519085	-125.868002	0.408752	0.369823	-1.00E-17	-1.00E-17	-1.00E-17	1.23	1.5528	-1.69973	0.291	-0.291	2.541982134	6.67E-04	-6.67E-04	2.3996E-18	2.5420E+00	3.3333E-05	8.0698E-30	2.8020E-31	4.8520E-30	1.8134E-31	3.5486E-17	4.2233E-18	2.2244E-16	1.1807E-17	8.2652E-17	3.4999E-18	2.7000E+00	-1.8600E+00	2.4064E-01	-1.3112E+00	5.8325E-02	4.0000E-03	7.2000E+00	7.7909E+08	1.3000E+00	1.9160E-01	8.4100E+00	1.7808E+09	1.2600E+00	9.5015E+00	-7.1500E+00	9.5015E+00	4.0000E-03	7.7000E+00	9.9354E+08	3.5000E-01	3.4529E-02	8.0600E+00	3.1787E+08	4.8000E-01	1.2921E+00	-7.5900E+00	1.2921E+00	-3.5536E+01	1.9352E-15	-1.0000E+00	-1.0014E+00	1.2399E-03	3.3363E-16	1.1675E-16	2.9026E-15	-1.0000E+00	-1.2788E+00	8.2670E-04
